id;produto_id;DesPro;DesGru;PcoVen;PcoProm;QntProm;ativo;ordem;data_criacao;destaque
6592;6578;ERVILHA QUERO LT 170G;MERCEARIA;5,99;0;0;0;6578;46156,94226;0
6606;6592;SABAO PASTOSO TRADICIONAL 200G;LIMPEZA;6,99;0;0;0;6592;46156,94226;0
6608;6594;FOSFORO QUELUZ 10CX;MERCEARIA;4,99;0;0;0;6594;46156,94226;0
6698;6684;LAPIS FABER CASTELL N.2;PAPELARIA;0,99;0;0;0;6684;46156,94226;0
6699;6685;POLIDOR NUGGET 33 DES LIQ MARROM 60ML;LIMPEZA;16,99;0;0;0;6685;46156,94226;0
6716;6702;REFRESCO FRISCO LARANJA 18G;BEBIDAS;1,99;0;0;0;6702;46156,94226;0
6732;6718;PRENDEDOR DE ROUPA MADEIRA GABOARDI C12;LIMPEZA;3,99;0;0;0;6718;46156,94226;0
6733;6719;ESCOVA DENTAL CLEAN-B MACIA;HIGIENE PESSOAL;5,99;0;0;0;6719;46156,94226;0
6741;6727;COPO DESC COPOMAIS 200ML;MERCEARIA;7,99;0;0;0;6727;46156,94226;0
6742;6728;SABAO COCO BRIL ODOR 100G;LIMPEZA;3,99;0;0;0;6728;46156,94226;0
6747;6733;GUARDANAPO DE PAPEL LUC 18CMX23CM C50;DESCARTAVEL;5,99;0;0;0;6733;46156,94226;0
6749;6735;ALCOOL PRING 92,8 500ML;LIMPEZA;9,99;0;0;0;6735;46156,94226;0
6760;6746;NAFITALINA BIOCHEIRO 15G;LIMPEZA;4,99;0;0;0;6746;46156,94226;0
6763;6749;PO DESCOLORANTE MARCIA PROTEINAS DA SEDA 20G;HIGIENE PESSOAL;6,99;0;0;0;6749;46156,94226;0
6764;6750;AGUA OXIGENADA RADAR 40 VOLUME;PERFUMARIA;3,99;0;0;0;6750;46156,94226;0
6765;6751;LIXA PARA UNHAS BELLA;PERFUMARIA;1;0;0;0;6751;46156,94226;0
6766;6752;AGUA OXIGENADA RADAR 20 VOLUME;PERFUMARIA;3,99;0;0;0;6752;46156,94226;0
6769;6755;CHA SHOJI PRETO 15G;CHAS;6,17;0;0;0;6755;46156,94226;0
6780;6766;VINAGRE COLORIDO PEIXE 500ML;MERCEARIA;2,99;0;0;0;6766;46156,94226;0
